URL,Content creator,Username,Date added,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
https://www.facebook.com/1000014627054555,Hell Squad Gamer,GoDGokuyt,2023-03-09,71493,Hindi,no,0,0
https://www.facebook.com/1000040193424648,RonaldArtista,ronaldartistaHD,2023-07-24,31449,Spanish,no,11,2045
https://www.facebook.com/1000159770090002,Gour Nitai Love,Gournitailove,2023-08-20,25927,Bengali,no,8,751
https://www.facebook.com/1000183320013400,CU99 Shop - แฟชั่นสาวอวบราคาโรงงาน,CU99 Shop - แฟชั่นสาวอวบราคาโรงงาน,2023-02-10,103797,Thai,no,13,427
https://www.facebook.com/1000238306712825,Malcolm Andaya Sanchez,Malcolm Andaya Sanchez,2023-05-14,18637,English,no,1,79
https://www.facebook.com/1000251006655898,Kuldeep Hairstylist,hairnationbykuldeep,2023-03-09,300562,English,no,2,5265
https://www.facebook.com/1000375600077503,بلال عبدالله,بلال عبدالله,2023-08-29,159182,Arabic,no,2,2449
https://www.facebook.com/1000390383371212,Gastronovo MX,gastronovoMX,2023-04-26,141850,Spanish,no,2,90
https://www.facebook.com/1000412773366372,Kabaddi de jodhe-ਕਬੱਡੀ ਦੇ ਯੋਧੇ,Kabaddi de jodhe-ਕਬੱਡੀ ਦੇ ਯੋਧੇ,2023-09-29,42899,Punjabi,no,0,0
https://www.facebook.com/1000542960016593,Ekta Jain,Ekujain11,2021-10-25,1208722,English,yes,0,1843
https://www.facebook.com/100058014738,璽恩SiEn,璽恩SiEn,2023-05-09,93263,Chinese,no,2,4357
https://www.facebook.com/1000610223319733,Max The Boxer Dog,Max The Boxer Dog,2023-04-12,1573,English,no,1,684
https://www.facebook.com/1000658213286258,Jungle Ink Tattoo,Jungle Ink Tattoo,2023-08-10,12313,English,no,0,52
https://www.facebook.com/1000691963392521,ครัวคุณกิ๊บ ผัดไทยสูตรโบราณ25ปี,ครัวคุณกิ๊บ ผัดไทยสูตรโบราณ25ปี,2023-08-06,29465,Thai,no,1,707
https://www.facebook.com/1000718216641305,Lioz shem tov,liozst,2023-08-11,156728,English,yes,0,0
https://www.facebook.com/1000762320313179,I Love Lucy Eats Cooking Show,I Love Lucy Eats Cooking Show,2023-08-01,696,English,no,2,127
https://www.facebook.com/1000768513306104,Esteban Band,Estebanband1,2022-10-31,21518,English,no,4,2411
https://www.facebook.com/1000789540000936,Willfrite le Manifik,Willfrite le Manifik,2023-09-04,18049,French,no,0,0
https://www.facebook.com/1000791710083335,RJ Photography,,2023-03-09,169329,Tamil,no,4,6374
https://www.facebook.com/1000829949974832,Cookielicious NZ,cookieliciousNZ,2023-04-03,18600,English,no,0,0
https://www.facebook.com/1000894339986724,Peinópolis,peinopolis,2023-08-26,769645,Spanish,no,0,0
https://www.facebook.com/1000961419916672,Mikapok,Mikapok,2023-07-30,1526390,Thai,no,2,20125
https://www.facebook.com/100100004879832,Shree Khairwar,YoutuberShree,2023-03-27,32405,English,no,0,8395
https://www.facebook.com/100100005002107,Pastores Maldonado,Pastores Maldonado,2023-08-15,338867,Spanish,no,0,0
https://www.facebook.com/100100005089901,Adyan D.,AdyanD.KaAmazing,2023-09-07,791459,Tagalog,no,3,0
https://www.facebook.com/100100005308503,Sonbil Express,Sonbil Express,2023-03-15,61898,English,no,0,0
https://www.facebook.com/100100005752966,0 to 400 Drone Services LLC,0 to 400 Drone Services LLC,2023-04-03,361,,no,0,0
https://www.facebook.com/100100006040461,Jessica Black,Jessica Black,2023-04-01,1088,English,no,0,0
https://www.facebook.com/100100006220548,Britney Tarrillion,Britney Tarrillion,2023-08-07,121,English,no,2,182
https://www.facebook.com/100100006220580,Jennifer Nupoort,Jennifer Nupoort,2023-03-22,334,English,no,3,178
https://www.facebook.com/100100006235509,Ankit Kumar,Ankit Kumar,2023-08-29,422,English,no,0,176
https://www.facebook.com/100100006240283,Minakshi Singh,Minakshi Singh,2023-04-12,1012,English,no,4,176
https://www.facebook.com/100100006242668,Yaren Taş Dizyn Taşcı,Yaren Taş Dizyn Taşcı,2022-11-01,25,Turkish,no,0,0
https://www.facebook.com/100100006243357,Keith Tarrant,Keith Tarrant,2023-03-29,87,English,no,0,0
https://www.facebook.com/100100006258543,Amonrat Wapeenang,,2023-07-23,30672,Thai,no,2,724
https://www.facebook.com/100100008223540,Babushka's Boy,Babushka's Boy,2023-08-29,1028,English,no,1,78
https://www.facebook.com/100100009652585,Fardus Rahaman,Fardus Rahaman,2023-04-04,99,English,no,3,88
https://www.facebook.com/100100011997895,Sahabat Berbagi,Sahabat Berbagi,2023-07-15,9926,Javanese,no,0,0
https://www.facebook.com/100100012717992,Krista Kunkel,Krista Kunkel,2022-11-20,6931,English,no,5,167
https://www.facebook.com/100100013001509,Donita Robinson,Donita Robinson,2023-03-18,444,English,no,0,0
https://www.facebook.com/100100015892275,Gaming Zone,Gaming Zone,2023-04-30,25010,,no,0,0
https://www.facebook.com/100100022841984,ElSazón,ElSazón,2022-12-23,2637,,no,7,93
https://www.facebook.com/100100025935732,Gaur Prem Das,Gaur Prem Das,2023-09-10,3351,,no,4,535
https://www.facebook.com/100100032795420,DMC Electric,,2023-01-07,19071,English,no,2,757
https://www.facebook.com/100100033021615,Gavin Juezan,Gavin Juezan,2023-05-01,1012,English,no,0,0
https://www.facebook.com/100100036243807,Jheyn Estoque,Jheyn Estoque,2023-04-16,517,Tagalog,no,1,238
