# Audience Network publishers with very low impression volumes do not appear on this list. Any campaign using a block list will not deliver ads to any of these low volume publishers. To download this list of low volume publishers visit https://business.facebook.com/business/publisher-list?low_volume_publishers_only=true
Note:  Here App Store Categories column values are directly scraped from itunes/google play stores. Learn more about this file: http://facebook.com/business/help/1382467665184382
"Note:  The Minimum Age Rating column values are directly scraped from itunes/google play stores. They are the highest rating across the UK, US, DE, AU, KR and RU stores to represent the major ratings boards and agencies. Special values are: 0 = Unrated, 1 = Everyone."
URL,Audience Network - Rewarded videos,"Audience Network - Native, banner and interstitial",Content creator,Date added,App store categories,Minimum age rating
https://itunes.apple.com/us/app/id587369846,no,yes,Karakartal Haber & Canlı Skor,2017-11-13,Sports,12
http://play.google.com/store/apps/details?id=com.blyts.trucolite.activities,yes,yes,Truco Blyts,2022-09-26,Card,1
http://play.google.com/store/apps/details?id=com.madfingergames.deadtrigger2,yes,yes,Dead Trigger 2 FPS Zombie Game,2022-09-26,Action,18
http://play.google.com/store/apps/details?id=com.nhn.android.band,no,yes,BAND - App for all groups,2023-06-07,Social,13
https://itunes.apple.com/us/app/id546871573,yes,yes,Bingo!™,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.funstage.gta.ma.bookofradeluxe,yes,no,Book of Ra™ Deluxe Slot,2022-09-26,Casino,18
http://play.google.com/store/apps/details?id=com.sundaytoz.mobile.anisachun.google.service,yes,yes,애니팡 사천성,2022-09-26,Puzzle,1
https://itunes.apple.com/us/app/id366247306,no,yes,▻Sudoku,2019-06-10,Games,12
https://itunes.apple.com/us/app/id466970942,no,yes,Paltalk: Chat with Strangers,2022-12-30,Social Networking,17
http://play.google.com/store/apps/details?id=com.octro.sweep,yes,no,Seep by Octro- Sweep Card Game,2022-09-26,Card,15
https://itunes.apple.com/us/app/id377194688,yes,yes,Talking Tom Cat,2022-09-26,Entertainment,4
https://itunes.apple.com/us/app/id439873467,yes,yes,Magic Jigsaw Puzzles－Games HD,2022-09-26,Games,4
https://itunes.apple.com/us/app/id522681493,yes,yes,JAUMO Dating App: Chat & Flirt,2023-05-08,Social Networking,17
https://itunes.apple.com/us/app/id569532697,no,yes,نبض Nabd - اخبار العالم ، عاجل,2022-09-26,News,4
https://itunes.apple.com/us/app/id537912717,yes,yes,Casino Roulette: Roulettist,2022-09-26,Games,17
https://itunes.apple.com/us/app/id366794969,no,yes,DesdePy,2022-09-26,Entertainment,12
https://itunes.apple.com/us/app/id354902315,yes,yes,Zynga Poker ™ - Texas Hold'em,2019-06-24,Games,17
https://itunes.apple.com/us/app/id504265646,yes,yes,Ruzzle,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=tunein.player,no,yes,"TuneIn Radio: News, Music & FM",2022-09-26,Music & Audio,13
https://itunes.apple.com/us/app/id561941526,yes,yes,Dragon City - Breed & Battle!,2022-09-26,Games,4
https://itunes.apple.com/us/app/id403274099,no,yes,Magic Towers Solitaire,2022-09-26,Games,4
https://itunes.apple.com/us/app/id571230079,yes,yes,1000 Jigsaw Puzzles World HD,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.horseracesnow.android,no,yes,Horse Races Now,2022-09-26,Sports,13
http://play.google.com/store/apps/details?id=com.choiceoflove.dating,no,yes,Choice of Love: Dating & Chat,2022-09-26,Dating,18
http://play.google.com/store/apps/details?id=bubbleshooter.android,yes,yes,Bubble Shooter,2022-09-26,Puzzle,1
https://itunes.apple.com/us/app/id642831690,no,yes,Jigsaw Puzzles for Adults HD,2023-07-02,Games,12
http://play.google.com/store/apps/details?id=com.antivirus,no,yes,AVG AntiVirus & Security,2022-09-26,Tools,1
http://play.google.com/store/apps/details?id=com.scores365,no,yes,365Scores: Live Scores & News,2022-09-26,Sports,1
https://itunes.apple.com/us/app/id440045374,yes,no,DragonVale,2022-09-26,Games,4
https://itunes.apple.com/us/app/id486937878,yes,yes,Sueca Multiplayer Game,2023-05-30,Games,17
https://itunes.apple.com/us/app/id357361004,no,yes,TuttoNapoli.net,2022-03-02,Sports,4
http://play.google.com/store/apps/details?id=com.jogatina.tranca,no,yes,Tranca Jogatina: Card Game,2022-09-26,Card,1
http://play.google.com/store/apps/details?id=com.nextwave.wcc_lt,yes,yes,World Cricket Championship  Lt,2022-09-26,Sports,1
https://itunes.apple.com/us/app/id360466413,no,yes,Cricbuzz Cricket Scores & News,2022-09-26,Sports,4
https://itunes.apple.com/us/app/id467588192,yes,yes,Bubble Shooter 2.0,2022-09-26,Games,4
http://play.google.com/store/apps/details?id=com.jogatina.buracoitaliano,no,yes,Burraco Italiano Jogatina,2022-09-26,Card,1
https://itunes.apple.com/us/app/id500195713,yes,yes,Nonogram: Falcross,2022-09-26,Games,12
https://itunes.apple.com/us/app/id566294584,yes,no,Clickfun: Casino & Slots Mania,2022-12-04,Games,17
https://itunes.apple.com/jp/app/id473605282,no,yes,Zeetle - 連絡先を一括送信 写真もクーポンも,2022-09-26,Utilities,12
https://itunes.apple.com/us/app/id520502858,no,yes,myTuner Radio - Live Stations,2022-09-26,Music,12
http://play.google.com/store/apps/details?id=com.edjing.edjingdjturntable,yes,yes,edjing Mix - Music DJ app,2023-01-20,Music & Audio,1
http://play.google.com/store/apps/details?id=com.fonectacaller,no,yes,Fonecta Caller,2023-09-20,Tools,1
http://play.google.com/store/apps/details?id=com.gs.stickit,no,yes,Sticky Notes !,2022-09-26,Productivity,1
https://itunes.apple.com/us/app/id437447439,no,yes,Azan Time Pro: Holy Quran,2022-09-26,Lifestyle,4
https://itunes.apple.com/us/app/id349442137,no,yes,Ameba（アメーバ）,2022-09-26,Social Networking,17
https://itunes.apple.com/us/app/id616679200,yes,yes,Words in a Pic,2023-02-03,Games,4
http://play.google.com/store/apps/details?id=it.doveconviene.android,no,yes,ShopFully: Shopping App,2022-09-26,Shopping,18
http://play.google.com/store/apps/details?id=se.maginteractive.rumble.free,yes,yes,Ruzzle,2022-09-26,Word,1
https://itunes.apple.com/us/app/id554936514,yes,yes,Talking Angela,2017-10-07,Entertainment,4
https://itunes.apple.com/us/app/id597986893,yes,yes,Plants vs. Zombies™ 2,2022-09-26,Games,9
https://itunes.apple.com/us/app/id639584030,no,yes,Chat & Date: Online Dating App,2022-09-26,Lifestyle,17
http://play.google.com/store/apps/details?id=com.gameinsight.airport,yes,yes,Airport City transport manager,2018-02-11,Simulation,15
https://itunes.apple.com/us/app/id558076089,no,yes,Diyetkolik Online Diyet,2023-01-05,Health & Fitness,4
https://itunes.apple.com/us/app/id520888232,yes,no,Super Penguins,2022-09-26,Games,4
https://itunes.apple.com/us/app/id517545499,yes,no,Happy Street,2021-06-16,Games,9
http://play.google.com/store/apps/details?id=com.goibibo,no,yes,"Goibibo: Hotel, Flight Booking",2020-10-20,Travel & Local,1
http://play.google.com/store/apps/details?id=com.opera.browser.beta,no,yes,Opera browser beta with AI,2022-09-26,Communication,1
https://itunes.apple.com/us/app/id494789758,no,yes,Bible Inspirations · Daily,2022-09-26,Reference,4
http://play.google.com/store/apps/details?id=com.WhatWapp.Scopa,yes,yes,Scopa - Italian Card Game,2022-09-26,Card,15
http://play.google.com/store/apps/details?id=com.bravolang.dictionary.turkish,no,yes,Turkish English Dictionary İng,2022-09-26,Education,1
https://itunes.apple.com/us/app/id454690785,yes,no,GameTwist Online Casino Slots,2022-09-26,Games,17
http://play.google.com/store/apps/details?id=com.eznetsoft.workshipandpraise,no,yes,Worship and Praise Lyrics,2022-09-26,Lifestyle,1
https://itunes.apple.com/us/app/id505658864,no,yes,"Kaave: Tarot, Angel, Horoscope",2022-09-26,Entertainment,4
http://play.google.com/store/apps/details?id=com.intsig.camscanner,no,yes,CamScanner - PDF Scanner App,2022-09-26,Productivity,1
https://itunes.apple.com/us/app/id413817051,no,yes,Simply Yoga - Home Instructor,2022-09-26,Health & Fitness,4
https://itunes.apple.com/us/app/id543186831,yes,no,8 Ball Pool™,2022-09-26,Games,4
https://itunes.apple.com/us/app/id542613198,no,yes,BAND - App for all groups,2023-06-08,Social Networking,12
