URL,Content creator,Username,Date added,Ads in Live,Facebook Page followers,Language,Blue verification,Videos published in the last 7 days,Median views per video (28 days)
www.facebook.com/1000014627054555,Hell Squad Gamer,GoDGokuyt,2023-08-28,yes,71624,Hindi,no,7,1213
www.facebook.com/1000040193424648,RonaldArtista,ronaldartistaHD,2023-06-05,no,31444,Spanish,no,14,98
www.facebook.com/1000096990046074,SKScience,SKsksci,2023-04-26,no,143426,Chinese,no,0,0
www.facebook.com/1000144116741604,拍拍,paipaiyoulove,2023-04-23,no,26852,Chinese,no,0,8
www.facebook.com/1000159010073649,Nayagarh Darpan,NayagarhDarpan,2023-08-16,no,27293,English,no,4,5539
www.facebook.com/1000159770090002,Gour Nitai Love,Gournitailove,2023-08-18,no,25963,Bengali,no,0,249
www.facebook.com/1000161790076053,سعر الذهب اليوم,gold2today,2023-04-27,no,526903,Arabic,no,0,0
www.facebook.com/1000251006655898,Kuldeep Hairstylist,hairnationbykuldeep,2020-05-31,no,300525,English,no,0,0
www.facebook.com/1000297923412329,Viancyy,Viancyyfb,2021-12-11,yes,3162,English,no,0,0
www.facebook.com/100036443824,WCYB,news5wcyb,2020-09-28,yes,503209,English,yes,15,844
www.facebook.com/1000369836817421,DimeloLion,DimeloLion,2023-06-29,no,25595,Spanish,no,0,0
www.facebook.com/1000372480086876,Chulas.TV,Chulas45,2023-04-22,yes,49112,Malay,no,0,0
www.facebook.com/1000389570168623,Pratheek,pratheekOfficial,2022-02-11,no,259123,English,no,3,75605
www.facebook.com/1000390383371212,Gastronovo MX,gastronovoMX,2023-08-28,no,141834,Spanish,no,0,0
www.facebook.com/1000445256682134,ការិយាល័យបម្រើសេវាកម្មកូនខ្មែរនៅកូរ៉េ Khmer 서비스,khmer114,2023-10-03,yes,99231,Khmer,no,4,1018
www.facebook.com/1000462336735047,Al Ras del Fútbol,AlRasDelDeporte,2023-05-23,no,17059,Spanish,no,8,1783
www.facebook.com/1000480473411281,Raees The Film,RaeesTheFilm,2017-10-07,no,478424,English,yes,0,0
www.facebook.com/1000512500015501,Mina Al Sheikhly,MinaAlSheikhly,2020-10-01,no,1206170,Arabic,yes,0,0
www.facebook.com/1000542960016593,Ekta Jain,Ekujain11,2021-03-20,yes,1208582,English,yes,5,1853
www.facebook.com/1000544446696015,Dr Pedro Duccini Trindade - Cardiologista,dr.pedroduccini,2020-07-13,no,44992,Portuguese,no,0,0
www.facebook.com/1000718216641305,Lioz shem tov,liozst,2023-07-31,no,156711,English,yes,0,0
www.facebook.com/1000768513306104,Esteban Band,Estebanband1,2023-02-20,no,21590,English,no,2,10387
www.facebook.com/1000770216750116,Lko masti Vlogs,Lkomasti16,2023-02-22,no,15766,Hindi,no,8,10499
www.facebook.com/100078007026,Delta Waterfowl Foundation,DeltaFans,2021-12-14,no,282587,English,yes,0,914
www.facebook.com/1000791710083335,RJ Photography,,2020-03-12,yes,169479,Tamil,no,0,17667
www.facebook.com/10008197815,The Tragically Hip,TheTragicallyHip,2021-03-08,no,411912,English,yes,1,9779
www.facebook.com/1000821219939935,123 Finance Cebu,123lendingcebu,2022-07-08,no,12914,English,no,0,0
www.facebook.com/1000829949974832,Cookielicious NZ,cookieliciousNZ,2023-04-22,no,18604,English,no,0,0
www.facebook.com/100085559712,"Yogi Bear's Jellystone Park at Monticello, Iowa",MonticelloJellystone,2023-08-02,no,29456,English,no,3,482
www.facebook.com/1000894339986724,Peinópolis,peinopolis,2018-10-02,no,769609,Spanish,no,0,1684
www.facebook.com/1000947003338769,Abel Flores Acevedo,Dr.abelfloresacevedo,2023-08-30,no,13048,Spanish,no,2,1858
www.facebook.com/100100004879832,Shree Khairwar,YoutuberShree,2023-06-05,no,33424,English,no,1,7067
www.facebook.com/100100005089901,Adyan D.,AdyanD.KaAmazing,2023-09-06,yes,791185,Tagalog,no,7,28244
www.facebook.com/100100005387603,Douglas Fps,nooboficialDG,2023-04-22,yes,11066,Portuguese,no,0,0
www.facebook.com/100100006258543,Amonrat Wapeenang,,2023-07-24,no,30669,Thai,no,0,0
www.facebook.com/100100006275567,Utang Pa More,aireen525139,2023-08-14,no,6840,English,no,12,38
www.facebook.com/100100006335360,Shaba Raini,ostaj.rizavi,2023-08-28,no,5631,Spanish,no,0,0
www.facebook.com/100100026248948,Ronald Escarez,Dlanor1983,2023-08-15,no,5435,English,no,6,36
www.facebook.com/100100032795420,DMC Electric,,2023-04-22,no,19091,English,no,0,0
www.facebook.com/100100092906935,Md Orvil Hossain,md.orvilhossain,2023-10-05,no,6671,English,no,0,0
www.facebook.com/100100105119929,Morris Moto,MorrisMotoMx,2023-04-22,no,381464,Spanish,no,3,118162
www.facebook.com/100100129589442,Daisy Zamudio Reyes,daisyzreyes1818,2023-07-11,no,9015,English,no,1,102
www.facebook.com/100100215105837,Ahmet Sontay,AhmetSontayTv12,2023-04-22,yes,30073,Turkish,no,0,0
www.facebook.com/100100276272999,Allan Pingal Salvaloza,,2023-06-14,no,23523,English,no,6,306
www.facebook.com/100100305610716,Jhon.artista,jhonelwason,2023-09-27,no,750572,Spanish,no,3,3028659
www.facebook.com/100100341912746,Al Films,Alhamid23,2023-09-12,no,16829,Tagalog,no,0,5519
www.facebook.com/100100346342596,Bonjour Mes Amis,neath.muny.7,2023-09-04,no,5690,French,no,0,390
www.facebook.com/100100358399711,News31India,News31India,2023-09-24,no,8008,Hindi,no,3,17364
www.facebook.com/100100362636115,Elchicodelamagia,Elchicodelamagiaa,2022-06-23,no,350671,Spanish,no,2,4771
www.facebook.com/100100366250021,สมลัก ภูแลนช้าง,,2023-08-29,no,46712,Thai,no,6,739
www.facebook.com/100100419584358,Elisha Bernabe Dorig,kolinelisha.dorig,2023-03-07,no,17704,English,no,0,0
www.facebook.com/100100432223325,Republic Plumbing,republicplumbing,2022-07-29,no,57984,English,no,0,2828
www.facebook.com/100100432922312,Md. Shariful Islam,sisharifulislam4617,2023-04-27,no,5365,English,no,0,0
www.facebook.com/100100456306682,Dueanpen Chueapan,dueanpen.chueapan,2023-05-24,no,18815,English,no,4,155
www.facebook.com/100100479176027,Priyoti Riyaaa,Priyotiriya1,2023-04-16,no,35314,Bengali,no,2,12348
www.facebook.com/100100486279300,Rokilso Rokilso,rokilso.rokilso,2023-08-02,no,5247,English,no,0,0
www.facebook.com/100100489568264,Leonardo franco H,,2023-09-08,yes,65583,Spanish,no,2,6661
www.facebook.com/100100495137301,阿科收车,ahkercar,2023-05-15,no,25084,Chinese,no,4,19798
www.facebook.com/100100562285079,Tribuna Softball,TribunaSoftball,2023-09-12,no,20829,Spanish,no,2,1595
